pp_mecn_1mM,,pp_mecn_500uM,,pp_mecn_250uM,,pp_mecn_125uM,,pp_mecn_62uM,,pp_mecn_31uM,,pp_mecn_15uM,,pp_mecn_7uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
754.4543457,-0.004738778807,754.4543457,-0.005345399491,754.4543457,-0.004899395164,754.4543457,-0.005124936346,754.4543457,-0.004794748034,754.4543457,-0.004926935304,754.4543457,-0.004814102314,754.4543457,-0.004870880861,
754.0303955,-0.004874771461,754.0303955,-0.004955906421,754.0303955,-0.004861614667,754.0303955,-0.005118745379,754.0303955,-0.004558737855,754.0303955,-0.0051212525,754.0303955,-0.004960103892,754.0303955,-0.005072796252,
753.4650269,-0.005176609382,753.4650269,-0.00552087184,753.4650269,-0.004786299076,753.4650269,-0.004960410763,753.4650269,-0.004801711533,753.4650269,-0.004997619893,753.4650269,-0.005174767692,753.4650269,-0.004932207521,
753.0408936,-0.005070186686,753.0408936,-0.005135731772,753.0408936,-0.005014765076,753.0408936,-0.005284744781,753.0408936,-0.005322386511,753.0408936,-0.005159521941,753.0408936,-0.004877740983,753.0408936,-0.005217022728,
752.4753418,-0.005143457558,752.4753418,-0.005145861767,752.4753418,-0.005084872246,752.4753418,-0.005824202206,752.4753418,-0.00478588976,752.4753418,-0.00539321173,752.4753418,-0.005349643994,752.4753418,-0.005703528877,
752.0510864,-0.005236153957,752.0510864,-0.004966757726,752.0510864,-0.00535434857,752.0510864,-0.005089426413,752.0510864,-0.005228430033,752.0510864,-0.005288683344,752.0510864,-0.005468063988,752.0510864,-0.005326119717,
751.4852905,-0.005316556431,751.4852905,-0.005563859828,751.4852905,-0.005463360343,751.4852905,-0.005425117444,751.4852905,-0.005038919859,751.4852905,-0.005512028467,751.4852905,-0.005516679958,751.4852905,-0.005300548859,
751.0609131,-0.005312413909,751.0609131,-0.00563244801,751.0609131,-0.005262342747,751.0609131,-0.005743382499,751.0609131,-0.00534565514,751.0609131,-0.005612925626,751.0609131,-0.005603317171,751.0609131,-0.005401290487,
750.4949341,-0.005585429259,750.4949341,-0.005868181586,750.4949341,-0.005839935038,750.4949341,-0.00568186352,750.4949341,-0.005553381518,750.4949341,-0.005582822487,750.4949341,-0.00590990996,750.4949341,-0.005730864592,
750.0703735,-0.005751557183,750.0703735,-0.005751097109,750.0703735,-0.005968741141,750.0703735,-0.005656568799,750.0703735,-0.005779349711,750.0703735,-0.005687842146,750.0703735,-0.005825019442,750.0703735,-0.005572497845,
749.5042114,-0.005952348467,749.5042114,-0.006281403359,749.5042114,-0.005719215609,749.5042114,-0.005748746917,749.5042114,-0.005629024003,749.5042114,-0.006080406252,749.5042114,-0.005833601113,749.5042114,-0.005776079837,
748.9379272,-0.006162898615,748.9379272,-0.006212304812,748.9379272,-0.006262368988,748.9379272,-0.005714974366,748.9379272,-0.005844481289,748.9379272,-0.005923239514,748.9379272,-0.005826194305,748.9379272,-0.00574261602,
748.5131226,-0.006027666386,748.5131226,-0.006314927712,748.5131226,-0.00605758559,748.5131226,-0.005834724754,748.5131226,-0.005981047638,748.5131226,-0.006151005626,748.5131226,-0.006160703953,748.5131226,-0.006073820405,
747.9465942,-0.006163358223,747.9465942,-0.005936313421,747.9465942,-0.006048497744,747.9465942,-0.005960570183,747.9465942,-0.00652193604,747.9465942,-0.005882176571,747.9465942,-0.00616228627,747.9465942,-0.006047936156,
747.5216675,-0.006095262244,747.5216675,-0.006328653079,747.5216675,-0.006284107454,747.5216675,-0.006449458655,747.5216675,-0.006139724981,747.5216675,-0.006471799687,747.5216675,-0.006526781246,747.5216675,-0.006351612508,
746.9549561,-0.00590679422,746.9549561,-0.00633543916,746.9549561,-0.006268390454,746.9549561,-0.006250887178,746.9549561,-0.00646348577,746.9549561,-0.006282780785,746.9549561,-0.006544885691,746.9549561,-0.006468790583,
746.5298462,-0.006553962827,746.5298462,-0.006736746989,746.5298462,-0.006160091609,746.5298462,-0.006479042582,746.5298462,-0.006050642114,746.5298462,-0.006952929311,746.5298462,-0.006715082098,746.5298462,-0.006416760851,
745.9629517,-0.006502555683,745.9629517,-0.006637283135,745.9629517,-0.006299416069,745.9629517,-0.006826657802,745.9629517,-0.006801480427,745.9629517,-0.006677866913,745.9629517,-0.006559827365,745.9629517,-0.006670423318,
745.5377197,-0.006481031887,745.5377197,-0.006752090063,745.5377197,-0.006628870498,745.5377197,-0.006929542869,745.5377197,-0.006462159567,745.5377197,-0.006577369757,745.5377197,-0.00678996183,745.5377197,-0.006811877713,
744.9706421,-0.006999240257,744.9706421,-0.006718191784,744.9706421,-0.006683270913,744.9706421,-0.006782622077,744.9706421,-0.006630808115,744.9706421,-0.006720332894,744.9706421,-0.006810705643,744.9706421,-0.006902333349,
744.5452271,-0.006732057314,744.5452271,-0.006740468089,744.5452271,-0.006673686206,744.5452271,-0.006786139216,744.5452271,-0.006425790023,744.5452271,-0.00679393718,744.5452271,-0.007173587102,744.5452271,-0.006990069989,
743.9779053,-0.006701725535,743.9779053,-0.007075955626,743.9779053,-0.007135189138,743.9779053,-0.006797912996,743.9779053,-0.007096227258,743.9779053,-0.007339821663,743.9779053,-0.007301438134,743.9779053,-0.007049162872,
743.5523682,-0.00695150299,743.5523682,-0.007210352924,743.5523682,-0.007074427325,743.5523682,-0.006923683453,743.5523682,-0.006883479189,743.5523682,-0.007077992894,743.5523682,-0.007119400892,743.5523682,-0.007185197901,
